Listado oficial de sucursales Carrefour en Capital Federal (CABA)
Fuente: https://landings.carrefour.com.ar/botella-reutilizable/sucursales.pdf (descargado 24/08/2026)
Formato: Nombre de Sucursal | Dirección

Hipermercado Vélez Sarsfield | Av. Álvarez Jonte 6383
Hipermercado Salguero | Jerónimo Salguero 3212
Hipermercado Warnes | Warnes 2707
Hipermercado Mataderos | Av. Gral. Paz 12950
Hipermercado Villa Devoto | José Pedro Varela 4750
Hipermercado Caballito | Av. Donato Alvarez 1351
Hipermercado Villa Urquiza | Av. Roosevelt 5749
Market Flores | Av. Rivadavia 6538
Market Avenida Santa Fe 1954 | Av. Santa Fe 1954
Market Vicente López | Vicente López 1676
Market Belgrano Cabildo | Av. Cabildo 2441
Market 9 de Julio | Av. Rivadavia 999
Market Vidt | Santa Fe 3368
Market Uriburu | Av. Rivadavia 2243
Market Juramento | Juramento 2971
Market Avenida Corrientes | Av. Corrientes 1160
Market Olazábal | Olazábal 4734
Market Núñez | Av. Cabildo 3190
Market Barrio Norte | Beruti 2951
Market Palermo Canning | Av. Raúl Scalabrini Ortíz 3128
Market Colegiales (Elcano) | Av. Elcano 3380
Market Villa del Parque | Av. Nazca 2951
Market Villa Pueyrredón | Av. Mosconi 2861
Market Belgrano | Av. Monroe 1655
Market Palermo Soler | Av. Raúl Scalabrini Ortíz 1840
Market Recoleta II | Av. Córdoba 2529
Market San Telmo | Av. Independencia 456
Market Monserrat | Av. Belgrano 1160
Market Carranza | Av. Santa Fe 5234
Market Caballito | Av. Rivadavia 5973
Market Recoleta I | Av. Córdoba 1631
Market Barracas | Av. Montes de Oca 970
Market Almagro | Av. Díaz Vélez
Market Once | Av. Rivadavia 3221
Market Devoto | Av. Fco. Beiró 5204
Market Conde | Av. Federico Lacroze 3117
Express Centenera 177 | Av. del Barco Centenera 177
Express Aguirre 236 | Aguirre 236
Express Montañeses 2067 | Montañeses 2067
Express Hidalgo 92 | Hidalgo 92
Express Rosario 85 | Rosario 85
Express Directorio 3960 | Directorio 3960
Express Jonte 3709 | Álvarez Jonte 3709
Express García del Río 3166 | García del Río 3166
Express Avenida de Mayo 432 | Av. de Mayo 432
Express Alte. Brown 261 | Almirante Brown 261
Express Carlos Calvo 1826 | Carlos Calvo 1826
Express Murature 2169 | Murature 2169
Express Rivadavia 4702 | Av. Rivadavia 4702
Express Del Carril 3210 | Del Carril 3210
Express Tte. Gral. J.D. Perón 4177 | Tte. Gral. J. D. Perón 4177
Express Chivilicoy 3840 | Chivilicoy 3840
Express Suárez 1599 | Suárez 1599
Express Crisólogo Larralde 3721 | Crisólogo Larralde 3721
Express Avenida Rivadavia 8421 | Av. Rivadavia 8421
Express Formosa 565 | Formosa 565
Express Mariscal Sucre 4230 | Mariscal Sucre 4230
Express Independencia 1833 | Av. Independencia 1833
Express J. Hernandez 130 | José Hernández 130
Express Montiel 1061 | Montiel 1061
Express Ricardo Balbín 4189 | Ricardo Balbín 4189
Express Avenida San Juan 1374 | Av. San Juan 1374
Express Amenábar 1187 | Amenábar 1187
Express Río de Janeiro 71 | Río de Janeiro 71
Express Olazábal 5179 | Olazábal 5179
Express Directorio 1766 | Directorio 1766
Express La Rioja 2040 | La Rioja 2040
Express Montes de Oca 304 | Montes de Oca 304
Express Fray C. Rodríguez 464 | Fray C. Rodríguez 464
Express Charcas 3940 | Charcas 3940
Express Avenida Caseros 2423 | Av. Caseros 2423
Express Chilavert 6280 | Chilavert 6280
Express Arce 728 | Arce 728
Express Otamendi 454 | Otamendi 454
Express Moldes 1718 | Moldes 1718
Express Arévalo 1736 | Arévalo 1736
Express Nazca 1944 | Nazca 1944
Express Avellaneda 1034 | Av. Avellaneda 1034
Express Charcas 3315 II | Charcas 3315
Express Olazábal 1898 | Olazábal 1898
Express Cabildo 34 | Av. Cabildo 34
